0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:18:15 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:18:26 -0300] "POST /the_Battle_for_Gondria/Logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:19:19 -0300] "POST /the_Battle_for_Gondria/CadastraUsuario HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:19:31 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:19:31 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:20:26 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:20:26 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:20:28 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:20:32 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:20:37 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:20:40 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:20:43 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:20:54 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:20:54 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:21:00 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:21:01 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:21:04 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:21:06 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:21:09 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:21:13 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:21:24 -0300] "POST /the_Battle_for_Gondria/Logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:23:00 -0300] "POST /the_Battle_for_Gondria/CadastraUsuario HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:23:17 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:24:46 -0300] "POST /the_Battle_for_Gondria/CadastraUsuario HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:24:57 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:24:57 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:25:29 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:26:22 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:26:25 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:26:27 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:26:30 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:30:30 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:30:34 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:30:41 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:31:08 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:31:08 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:35:23 -0300] "POST /the_Battle_for_Gondria/Logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:37:33 -0300] "POST /the_Battle_for_Gondria/CadastraUsuario HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:37:43 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:37:43 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:37:48 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:37:48 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:37:49 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:37:52 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:37:54 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:37:57 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:38:03 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:38:11 -0300] "GET /the_Battle_for_Gondria/system/user/index.html?perfil HTTP/1.1" 200 3635
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:38:11 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:38:11 -0300] "GET /the_Battle_for_Gondria/system/user/perfil.html HTTP/1.1" 200 5137
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:38:13 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:38:13 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:39:05 -0300] "POST /the_Battle_for_Gondria/Logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:41:37 -0300] "POST /the_Battle_for_Gondria/CadastraUsuario HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:41:56 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:41:56 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:41:57 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:41:58 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:42:00 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:42:03 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:42:05 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:42:08 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:42:13 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:42:33 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:42:33 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:43:05 -0300] "POST /the_Battle_for_Gondria/Logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:46:25 -0300] "POST /the_Battle_for_Gondria/CadastraUsuario HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:46:52 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:46:57 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 32
